dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P2-signal@0.015,92000,20282,0.983,0.9783,0
sift,0.5,P2-signal@0.015,100000,20354,0.9755,0.9812,0
sift,0.5,P2-signal@0.015,108000,20258,0.977,0.9798,0
sift,0.5,P2-signal@0.015,116000,20230,0.9805,0.9789,0
sift,0.5,P2-signal@0.015,124000,20302,0.9755,0.9776,0
sift,0.5,P2-signal@0.015,132000,20390,0.9765,0.9743,0
sift,0.5,P2-signal@0.015,140000,20502,0.9735,0.9708,0
sift,0.5,P2-signal@0.015,148000,20388,0.975,0.9682,0
sift,0.5,P2-signal@0.015,156000,20306,0.974,0.963,0
sift,0.5,P2-signal@0.015,164000,20318,0.9675,0.9606,0
sift,0.5,P2-signal@0.015,172000,20268,0.967,0.9558,0
sift,0.5,P2-signal@0.015,180000,20124,0.9605,0.9512,1
sift,0.5,P2-signal@0.015,188000,20110,0.9735,0.975,0
sift,0.5,P2-signal@0.015,196000,20104,0.9775,0.9757,0
sift,0.5,P2-signal@0.015,204000,20202,0.974,0.9766,0
sift,0.5,P2-signal@0.015,212000,20296,0.9755,0.9758,0
sift,0.5,P2-signal@0.015,220000,20260,0.98,0.9731,0
sift,0.5,P2-signal@0.030,28000,20070,0.9955,0.9883,0
sift,0.5,P2-signal@0.030,36000,19984,0.992,0.9853,0
sift,0.5,P2-signal@0.030,44000,19984,0.9855,0.9847,0
sift,0.5,P2-signal@0.030,52000,20048,0.988,0.9804,0
sift,0.5,P2-signal@0.030,60000,20218,0.9835,0.9769,0
sift,0.5,P2-signal@0.030,68000,20238,0.9825,0.9747,0
sift,0.5,P2-signal@0.030,76000,20234,0.983,0.9703,0
sift,0.5,P2-signal@0.030,84000,20160,0.9785,0.9678,0
sift,0.5,P2-signal@0.030,92000,20282,0.976,0.9656,0
sift,0.5,P2-signal@0.030,100000,20354,0.9705,0.9624,0
sift,0.5,P2-signal@0.030,108000,20258,0.9685,0.9619,0
sift,0.5,P2-signal@0.030,116000,20230,0.9675,0.9598,0
sift,0.5,P2-signal@0.030,124000,20302,0.9655,0.9563,1
sift,0.5,P2-signal@0.030,132000,20390,0.979,0.9752,0
sift,0.5,P2-signal@0.030,140000,20502,0.9825,0.973,0
sift,0.5,P2-signal@0.030,148000,20388,0.981,0.9741,0
sift,0.5,P2-signal@0.030,156000,20306,0.973,0.974,0
sift,0.5,P2-signal@0.030,164000,20318,0.9725,0.9718,0
sift,0.5,P2-signal@0.030,172000,20268,0.9765,0.9674,0
sift,0.5,P2-signal@0.030,180000,20124,0.972,0.9669,0
sift,0.5,P2-signal@0.030,188000,20110,0.9675,0.965,0
sift,0.5,P2-signal@0.030,196000,20104,0.963,0.9639,0
sift,0.5,P2-signal@0.030,204000,20202,0.9615,0.9596,0
sift,0.5,P2-signal@0.030,212000,20296,0.9605,0.9567,0
sift,0.5,P2-signal@0.030,220000,20260,0.963,0.9532,0
