dataset,f,policy,op,live,probe,recall,consolidated
sift,0.5,P2-signal@0.004,36000,23196,0.998,0.9985,0
sift,0.5,P2-signal@0.004,38000,21586,0.9975,0.9986,0
sift,0.5,P2-signal@0.004,40000,20022,0.997,0.9991,0
sift,0.5,P2-signal@0.004,42000,18366,0.9975,0.999,0
sift,0.5,P2-signal@0.004,44000,16742,0.998,0.9989,0
sift,0.5,P2-signal@0.004,46000,15150,0.9975,0.9987,0
sift,0.5,P2-signal@0.004,48000,13538,0.997,0.9986,0
sift,0.5,P2-signal@0.004,50000,11970,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,52000,13760,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,54000,15570,0.9975,0.9977,0
sift,0.5,P2-signal@0.004,56000,17372,0.998,0.9976,0
sift,0.5,P2-signal@0.004,58000,19166,0.9975,0.9975,0
sift,0.5,P2-signal@0.004,60000,20976,0.997,0.9971,0
sift,0.5,P2-signal@0.004,62000,22768,0.997,0.9972,0
sift,0.5,P2-signal@0.004,64000,24602,0.997,0.9974,0
sift,0.5,P2-signal@0.004,66000,26408,0.9965,0.9976,0
sift,0.5,P2-signal@0.004,68000,28226,0.999,0.9978,0
sift,0.5,P2-signal@0.004,70000,30034,0.9985,0.9974,0
sift,0.5,P2-signal@0.004,72000,28444,0.9985,0.9972,0
sift,0.5,P2-signal@0.004,74000,26842,0.998,0.9971,0
sift,0.5,P2-signal@0.004,76000,25246,0.9985,0.9972,0
sift,0.5,P2-signal@0.004,78000,23634,0.998,0.997,0
sift,0.5,P2-signal@0.004,80000,22034,0.9985,0.9969,0
sift,0.5,P2-signal@0.004,82000,20436,0.9975,0.9965,0
sift,0.5,P2-signal@0.004,84000,18816,0.9985,0.9965,0
sift,0.5,P2-signal@0.004,86000,17252,0.997,0.9954,0
sift,0.5,P2-signal@0.004,88000,15606,0.996,0.9949,0
sift,0.5,P2-signal@0.004,90000,13984,0.9935,0.9928,1
sift,0.5,P2-signal@0.004,92000,15770,0.9965,0.998,0
sift,0.5,P2-signal@0.004,94000,17572,0.9955,0.9981,0
sift,0.5,P2-signal@0.004,96000,19394,0.995,0.9982,0
sift,0.5,P2-signal@0.004,98000,21204,0.9975,0.9976,0
sift,0.5,P2-signal@0.004,100000,20000,0.9955,0.9977,0
